background	FASN_negative	FASN_positive
SNED1	NA	NA
SUPT6H	NA	NA
ARRDC2	NA	NA
ASCL5	NA	NA
KRT38	NA	NA
ZNF587B	NA	NA
PRSS46	NA	NA
STYX	NA	NA
RDH5	NA	NA
OR52I2	NA	NA
MST4	NA	NA
P4HA1	NA	NA
PTPN9	NA	NA
MOGAT2	NA	NA
PDLIM2	NA	NA
SH2B1	NA	NA
MAPK1	NA	NA
MDGA2	NA	NA
DIP2C	NA	NA
TMEM54	NA	NA
C6orf15	NA	NA
C21orf88	NA	NA
SOCS1	NA	NA
CHRNA9	NA	NA
OR51B5	NA	NA
RPL27A	NA	NA
RAB43	NA	NA
LRRK1	NA	NA
DNAL1	NA	NA
POU2F3	NA	NA
CEP57L1	NA	NA
PITPNC1	NA	NA
TMEM159	NA	NA
DNAH10OS	NA	NA
SLN	NA	NA
NR4A3	NA	NA
GNRH2	NA	NA
KCNQ5	NA	NA
GUCA1C	NA	NA
DRD2	NA	NA
UBXN2A	NA	NA
THEM6	NA	NA
CTAG2	NA	NA
FCN3	NA	NA
ACAN	NA	NA
MTMR2	NA	NA
LRRC49	NA	NA
SLC35G2	NA	NA
MARCH2	NA	NA
FAM13C	NA	NA
ADM2	NA	NA
ALOXE3	NA	NA
OR5AN1	NA	NA
EMX2	NA	NA
CTSZ	NA	NA
ZDHHC11	NA	NA
L3MBTL1	NA	NA
ZNF286A	NA	NA
CCER1	NA	NA
KIAA0226	NA	NA
ABCF3	NA	NA
ZNF491	NA	NA
FBXO10	NA	NA
SPOPL	NA	NA
GP6	NA	NA
HIVEP1	NA	NA
PPP1R3D	NA	NA
SETX	NA	NA
PRDM5	NA	NA
PDIA4	NA	NA
CLUL1	NA	NA
LACE1	NA	NA
ABCA7	NA	NA
UBL4B	NA	NA
PAGE1	NA	NA
TLR8	NA	NA
IMPDH1	NA	NA
FAM19A4	NA	NA
RNASE6	NA	NA
RPS21	NA	NA
TAGLN3	NA	NA
SLC12A3	NA	NA
OR2V2	NA	NA
SCTR	NA	NA
C19orf55	NA	NA
TRIM40	NA	NA
NPTN	NA	NA
STAT5A	NA	NA
DEFA4	NA	NA
ZDHHC8	NA	NA
SEMA4B	NA	NA
LAYN	NA	NA
ERO1LB	NA	NA
RELT	NA	NA
GIN1	NA	NA
FUZ	NA	NA
NPDC1	NA	NA
KCNK3	NA	NA
DUSP18	NA	NA
FXYD5	NA	NA
CPNE8	NA	NA
RAPGEF1	NA	NA
C12orf68	NA	NA
CSMD1	NA	NA
CNGB1	NA	NA
PALM2-AKAP2	NA	NA
GPR119	NA	NA
JAG2	NA	NA
ISCA2	NA	NA
C20orf78	NA	NA
CERCAM	NA	NA
CCDC157	NA	NA
AQP10	NA	NA
SS18L1	NA	NA
CUTC	NA	NA
NKX2-4	NA	NA
LGI2	NA	NA
HECTD1	NA	NA
CSGALNACT2	NA	NA
ZFAND2A	NA	NA
CDC73	NA	NA
P2RX6	NA	NA
H3F3B	NA	NA
SLC38A4	NA	NA
TAT	NA	NA
SLC43A2	NA	NA
PROX1	NA	NA
SMAD1	NA	NA
RAB40C	NA	NA
TMEM194A	NA	NA
DPEP2	NA	NA
RASGRP3	NA	NA
COL17A1	NA	NA
NKX2-6	NA	NA
DOPEY1	NA	NA
S1PR1	NA	NA
SP6	NA	NA
PHKA1	NA	NA
APOA4	NA	NA
LAT2	NA	NA
SCRN2	NA	NA
PDXP	NA	NA
CC2D1A	NA	NA
TEC	NA	NA
POC1B	NA	NA
NPY	NA	NA
KSR2	NA	NA
PRRG1	NA	NA
MPP1	NA	NA
AP5Z1	NA	NA
HOXA4	NA	NA
CLCN6	NA	NA
CCNK	NA	NA
MTCP1	NA	NA
RIPK1	NA	NA
ALPPL2	NA	NA
TGFBR3	NA	NA
C10orf68	NA	NA
SLC37A2	NA	NA
AKR1B15	NA	NA
NAT9	NA	NA
WDR72	NA	NA
MEOX2	NA	NA
CPNE9	NA	NA
ZDHHC18	NA	NA
ZNF461	NA	NA
PWWP2A	NA	NA
TMIE	NA	NA
LSM14B	NA	NA
KCTD14	NA	NA
FGF22	NA	NA
OIP5	NA	NA
TECPR1	NA	NA
RNF4	NA	NA
BEND5	NA	NA
SCARF2	NA	NA
ARSI	NA	NA
OMG	NA	NA
DOCK2	NA	NA
TJAP1	NA	NA
POLR3GL	NA	NA
DPP7	NA	NA
ARRDC3	NA	NA
ALKBH6	NA	NA
PTPN2	NA	NA
SLAMF6	NA	NA
ZNF780A	NA	NA
TRABD2A	NA	NA
CD109	NA	NA
OR8G5	NA	NA
NFX1	NA	NA
RNF157	NA	NA
AGAP1	NA	NA
IFNGR1	NA	NA
SPCS2	NA	NA
JKAMP	NA	NA
OR5B21	NA	NA
CHRM5	NA	NA
LINC00632	NA	NA
SEMA3E	NA	NA
GML	NA	NA
NOVA1	NA	NA
DYNC2LI1	NA	NA
TFCP2L1	NA	NA
TMEM185B	NA	NA
GPRC5C	NA	NA
C10orf115	NA	NA
REEP1	NA	NA
C21orf54	NA	NA
MICA	NA	NA
TSLP	NA	NA
ZNF230	NA	NA
TTC18	NA	NA
CXorf31	NA	NA
EXO5	NA	NA
ALPL	NA	NA
ZNF214	NA	NA
PDZD7	NA	NA
CBLL1	NA	NA
HTR2C	NA	NA
CTNNBIP1	NA	NA
TDRD7	NA	NA
CUL9	NA	NA
KRT3	NA	NA
ERMAP	NA	NA
BLMH	NA	NA
OR4D1	NA	NA
HELLS	NA	NA
WDR3	NA	NA
OSBPL7	NA	NA
EMCN	NA	NA
TLE2	NA	NA
IL11	NA	NA
GNGT2	NA	NA
AMZ1	NA	NA
NR0B2	NA	NA
TUBAL3	NA	NA
PHEX	NA	NA
DLEC1	NA	NA
NAT1	NA	NA
C2orf44	NA	NA
CRLF1	NA	NA
TMEM8C	NA	NA
PGD	NA	NA
CSNK1E	NA	NA
DNAJB14	NA	NA
OTOL1	NA	NA
NFE2L3	NA	NA
LRRC1	NA	NA
LTB4R	NA	NA
MAPK11	NA	NA
NLRP10	NA	NA
KRTAP8-1	NA	NA
SMPD4	NA	NA
PBX3	NA	NA
EPB41L2	NA	NA
ATP5C1	NA	NA
KRIT1	NA	NA
PAPPA2	NA	NA
BAI2	NA	NA
GCGR	NA	NA
KCNH2	NA	NA
SLC38A1	NA	NA
NDUFA4L2	NA	NA
CLN3	NA	NA
SLC15A4	NA	NA
RBBP9	NA	NA
KRTAP22-1	NA	NA
ZNF672	NA	NA
TMEM255A	NA	NA
PLS3	NA	NA
NRM	NA	NA
CYTIP	NA	NA
GPRC5D	NA	NA
KCTD6	NA	NA
METAP2	NA	NA
PTGDR2	NA	NA
AHDC1	NA	NA
CASR	NA	NA
FRMD4B	NA	NA
KLF17	NA	NA
FN3K	NA	NA
OR6A2	NA	NA
CSHL1	NA	NA
SERPINB4	NA	NA
IPPK	NA	NA
GPT2	NA	NA
NKAPL	NA	NA
OXR1	NA	NA
GFRA4	NA	NA
ADCY7	NA	NA
CFDP1	NA	NA
CAST	NA	NA
CXorf66	NA	NA
FSTL1	NA	NA
SGCA	NA	NA
THBS3	NA	NA
PDE4DIP	NA	NA
PPP1R1C	NA	NA
OSR2	NA	NA
MAN2B2	NA	NA
CDX4	NA	NA
SLC35E2B	NA	NA
ALAS2	NA	NA
ASPHD2	NA	NA
NFATC2IP	NA	NA
STEAP2	NA	NA
PGGT1B	NA	NA
EPM2AIP1	NA	NA
GBAS	NA	NA
KLHL34	NA	NA
LPHN3	NA	NA
FES	NA	NA
AMN1	NA	NA
MSC	NA	NA
HPRT1	NA	NA
NEIL3	NA	NA
C1orf56	NA	NA
GPR123	NA	NA
FAM182B	NA	NA
SEMA5B	NA	NA
OR52W1	NA	NA
HIF1A	NA	NA
DUSP12	NA	NA
PPP3R2	NA	NA
FBP2	NA	NA
SMAD2	NA	NA
SAPCD1	NA	NA
WDR53	NA	NA
LRPPRC	NA	NA
ZNF484	NA	NA
GALNT5	NA	NA
MICALCL	NA	NA
MPPE1	NA	NA
P4HTM	NA	NA
GDE1	NA	NA
RNF103	NA	NA
IL21R	NA	NA
LGR5	NA	NA
RPGRIP1L	NA	NA
TMEM107	NA	NA
C2orf73	NA	NA
TTYH2	NA	NA
LRRN3	NA	NA
MDK	NA	NA
C5orf63	NA	NA
WARS	NA	NA
CLPS	NA	NA
CSNK1G1	NA	NA
THAP9	NA	NA
ANKMY1	NA	NA
ATF7IP2	NA	NA
PPP1R15A	NA	NA
GPR3	NA	NA
OR1L1	NA	NA
ZNF530	NA	NA
C14orf37	NA	NA
TMEM101	NA	NA
RGS6	NA	NA
MROH1	NA	NA
SLC1A4	NA	NA
CTSA	NA	NA
C10orf129	NA	NA
SLC35D1	NA	NA
ZNF569	NA	NA
DTNA	NA	NA
WIPF1	NA	NA
KCNN4	NA	NA
C11orf16	NA	NA
RGAG4	NA	NA
SARNP	NA	NA
LSR	NA	NA
ADRA1D	NA	NA
TLR7	NA	NA
OVCH1	NA	NA
KIF12	NA	NA
ZNF766	NA	NA
TMEM81	NA	NA
AGRN	NA	NA
SPATA12	NA	NA
KLK15	NA	NA
S100B	NA	NA
ZNF782	NA	NA
IL23R	NA	NA
PDE1B	NA	NA
FBXL16	NA	NA
OR4F6	NA	NA
RTFDC1	NA	NA
H6PD	NA	NA
STARD9	NA	NA
FAM211B	NA	NA
STAP1	NA	NA
TXNDC8	NA	NA
LRGUK	NA	NA
CLCN2	NA	NA
SERPINA10	NA	NA
C14orf166B	NA	NA
CALB2	NA	NA
AMD1	NA	NA
DUSP8	NA	NA
PRG2	NA	NA
C2orf40	NA	NA
CYB5R1	NA	NA
MAGOH	NA	NA
CYP2E1	NA	NA
KCNK12	NA	NA
PRKG1	NA	NA
COL9A3	NA	NA
PPAPDC2	NA	NA
FIGNL1	NA	NA
SYT3	NA	NA
RASGRF2	NA	NA
HSD17B4	NA	NA
TDRD5	NA	NA
RAPSN	NA	NA
EIF5A	NA	NA
OTOP3	NA	NA
LTV1	NA	NA
NOX1	NA	NA
CDRT15L2	NA	NA
DBNL	NA	NA
FMNL2	NA	NA
AATK	NA	NA
VPS8	NA	NA
AP003774.4	NA	NA
C7orf72	NA	NA
KHDC3L	NA	NA
VPS37C	NA	NA
ANKRD55	NA	NA
SLC39A12	NA	NA
GPR15	NA	NA
EFCAB2	NA	NA
OR10Z1	NA	NA
KLHL9	NA	NA
LGALS1	NA	NA
TTR	NA	NA
OR52E8	NA	NA
SLC2A1	NA	NA
OR10AG1	NA	NA
TAS2R60	NA	NA
ZNF627	NA	NA
MAP3K12	NA	NA
GTDC1	NA	NA
PTPN6	NA	NA
CD82	NA	NA
C6orf118	NA	NA
STK10	NA	NA
INS	NA	NA
CNTN5	NA	NA
IMPG2	NA	NA
ZNF677	NA	NA
SLC25A16	NA	NA
THEG	NA	NA
CCDC53	NA	NA
DBI	NA	NA
PIH1D3	NA	NA
MN1	NA	NA
MAP3K10	NA	NA
SYT7	NA	NA
ZNF747	NA	NA
GPD2	NA	NA
HK1	NA	NA
BTD	NA	NA
SEC31B	NA	NA
TUBG2	NA	NA
INPP5A	NA	NA
CLEC12B	NA	NA
MMAA	NA	NA
SEPT9	NA	NA
ABCA2	NA	NA
EIF4E1B	NA	NA
DHRS7	NA	NA
OR13A1	NA	NA
KRT33B	NA	NA
TAS2R8	NA	NA
SRMS	NA	NA
ALDH1L1	NA	NA
CFLAR	NA	NA
KRT77	NA	NA
FGD1	NA	NA
SLC8B1	NA	NA
DEF6	NA	NA
OR2L2	NA	NA
RSPH1	NA	NA
KCTD13	NA	NA
AADACL3	NA	NA
C11orf40	NA	NA
LTK	NA	NA
TMEM217	NA	NA
IFNL1	NA	NA
SASH3	NA	NA
SCAF4	NA	NA
CD7	NA	NA
DEPTOR	NA	NA
HEY2	NA	NA
BARX1	NA	NA
C2orf82	NA	NA
MDN1	NA	NA
PCK1	NA	NA
NAB2	NA	NA
SP7	NA	NA
SEMA5A	NA	NA
HOXD1	NA	NA
ITGA2B	NA	NA
GRIP1	NA	NA
ARL6IP5	NA	NA
OCEL1	NA	NA
HTR4	NA	NA
TEKT1	NA	NA
OPA1	NA	NA
MAGEE2	NA	NA
STK24	NA	NA
SLC6A11	NA	NA
RELA	NA	NA
MS4A14	NA	NA
B3GALNT2	NA	NA
KLHL5	NA	NA
BBS9	NA	NA
HCAR2	NA	NA
AMOT	NA	NA
ZNF708	NA	NA
YTHDF1	NA	NA
COL24A1	NA	NA
BATF	NA	NA
MPPED2	NA	NA
RPS6KB2	NA	NA
ARFIP2	NA	NA
TMEM108	NA	NA
CTH	NA	NA
RORB	NA	NA
ITIH5	NA	NA
SIGLEC15	NA	NA
ZNF596	NA	NA
MEGF11	NA	NA
NHS	NA	NA
DNAAF1	NA	NA
POU3F2	NA	NA
GTF2F2	NA	NA
IP6K2	NA	NA
GSTM2	NA	NA
SESN1	NA	NA
NEIL2	NA	NA
ELP2	NA	NA
PCTP	NA	NA
TRMT61B	NA	NA
S100A2	NA	NA
RASAL2	NA	NA
USP8	NA	NA
RHBDD1	NA	NA
PNPLA5	NA	NA
IGF2	NA	NA
MYOM2	NA	NA
VPS4A	NA	NA
CECR2	NA	NA
PAK6	NA	NA
SLC23A2	NA	NA
NUMB	NA	NA
DCPS	NA	NA
CALCB	NA	NA
APMAP	NA	NA
TSACC	NA	NA
C19orf73	NA	NA
CASKIN2	NA	NA
GPR162	NA	NA
EMC9	NA	NA
RNF150	NA	NA
IQCA1	NA	NA
HOXB5	NA	NA
CALML6	NA	NA
SFXN2	NA	NA
PRRC2C	NA	NA
RAB3B	NA	NA
CAT	NA	NA
IGDCC4	NA	NA
PMF1	NA	NA
C4orf33	NA	NA
C9orf153	NA	NA
G6PC	NA	NA
LACTB	NA	NA
PAK1	NA	NA
HTR5A	NA	NA
CHST7	NA	NA
AMN	NA	NA
ANKRD31	NA	NA
BPIFC	NA	NA
C14orf132	NA	NA
TRPV5	NA	NA
C9orf169	NA	NA
OVOL3	NA	NA
NHP2L1	NA	NA
ZMAT3	NA	NA
GBGT1	NA	NA
MPP3	NA	NA
HPGD	NA	NA
GNAI1	NA	NA
ARPC3	NA	NA
KRT16	NA	NA
AMT	NA	NA
ZNF395	NA	NA
PSMB7	NA	NA
C6orf120	NA	NA
ARRB2	NA	NA
OR52M1	NA	NA
IRAK4	NA	NA
LY6G5C	NA	NA
ASAH1	NA	NA
MEF2B	NA	NA
SPINK13	NA	NA
MS4A8	NA	NA
PAK1IP1	NA	NA
HYAL3	NA	NA
TMEM88B	NA	NA
NUDT3	NA	NA
CST2	NA	NA
CRNKL1	NA	NA
SCOC	NA	NA
HDAC11	NA	NA
CD3D	NA	NA
HBE1	NA	NA
BAALC	NA	NA
EDN3	NA	NA
C3orf52	NA	NA
SCRN1	NA	NA
MARC2	NA	NA
DERA	NA	NA
PLA2G4D	NA	NA
TUBGCP5	NA	NA
GRIA3	NA	NA
HOXA7	NA	NA
SLCO2B1	NA	NA
SNX15	NA	NA
NDP	NA	NA
ABHD14B	NA	NA
KLHDC7A	NA	NA
SMC1B	NA	NA
LMF1	NA	NA
HMGB4	NA	NA
CLPTM1L	NA	NA
SECISBP2	NA	NA
TSKU	NA	NA
CAMSAP1	NA	NA
MRAS	NA	NA
ZNF831	NA	NA
DDX41	NA	NA
PMP22	NA	NA
OR5F1	NA	NA
ZNF329	NA	NA
NTS	NA	NA
C3orf62	NA	NA
CIB3	NA	NA
KLKB1	NA	NA
ADRBK2	NA	NA
PPP1R15B	NA	NA
PTPN22	NA	NA
CCNH	NA	NA
GPALPP1	NA	NA
ABHD13	NA	NA
TMEM173	NA	NA
WDFY2	NA	NA
TSPAN6	NA	NA
TPRG1L	NA	NA
ODF1	NA	NA
MBLAC1	NA	NA
CHST2	NA	NA
TTC30B	NA	NA
C7orf60	NA	NA
GJA9	NA	NA
SHANK1	NA	NA
DYNLT1	NA	NA
CTD-2616J11.4	NA	NA
DHX9	NA	NA
RBKS	NA	NA
CXorf36	NA	NA
MS4A15	NA	NA
PLA2G6	NA	NA
TMEM168	NA	NA
TRIM10	NA	NA
PIP4K2B	NA	NA
AVPR2	NA	NA
MCHR2	NA	NA
NGDN	NA	NA
FRRS1L	NA	NA
BCL2L14	NA	NA
HLA-DPB1	NA	NA
FOXJ1	NA	NA
CCDC28B	NA	NA
SYT15	NA	NA
HMX3	NA	NA
C1orf137	NA	NA
CDON	NA	NA
IPO13	NA	NA
ANKDD1A	NA	NA
HIGD1C	NA	NA
PPM1M	NA	NA
MLH3	NA	NA
SPATA6L	NA	NA
ADPRHL1	NA	NA
PHF20	NA	NA
PIGK	NA	NA
MRGPRG	NA	NA
ZNFX1	NA	NA
CPZ	NA	NA
TMCO2	NA	NA
MEST	NA	NA
HSD3B2	NA	NA
SMARCA5	NA	NA
HIST1H3H	NA	NA
SDR42E1	NA	NA
ARPC1B	NA	NA
TRIM60	NA	NA
CCDC62	NA	NA
KLK3	NA	NA
ZNF616	NA	NA
KIF20B	NA	NA
C4orf29	NA	NA
HOXC12	NA	NA
SORBS3	NA	NA
RNF146	NA	NA
AKAP8	NA	NA
FKBP14	NA	NA
TCF12	NA	NA
IQCB1	NA	NA
OR2J3	NA	NA
PKIB	NA	NA
PRSS16	NA	NA
KDM4E	NA	NA
WEE2	NA	NA
NOTCH3	NA	NA
MCFD2	NA	NA
RAB15	NA	NA
OR7D2	NA	NA
TIGD4	NA	NA
NOS1AP	NA	NA
ZNF662	NA	NA
FIGLA	NA	NA
CD99L2	NA	NA
LAIR1	NA	NA
OR10H4	NA	NA
FANCE	NA	NA
UCN3	NA	NA
TRMT2B	NA	NA
IFITM5	NA	NA
PFKFB1	NA	NA
THUMPD1	NA	NA
GCHFR	NA	NA
CLIP2	NA	NA
PIK3R5	NA	NA
CITED4	NA	NA
LPL	NA	NA
PANX2	NA	NA
RHBDL3	NA	NA
B4GALT2	NA	NA
GNMT	NA	NA
KLRC3	NA	NA
PLB1	NA	NA
NCR3	NA	NA
LY86	NA	NA
ZNF385B	NA	NA
OXTR	NA	NA
AMICA1	NA	NA
MFSD3	NA	NA
FAM181A	NA	NA
HEATR6	NA	NA
SCARA3	NA	NA
TRMT13	NA	NA
ZNF568	NA	NA
CHRNA10	NA	NA
RAB19	NA	NA
ANO8	NA	NA
ASIC2	NA	NA
NANOGNB	NA	NA
CFL1	NA	NA
PLA2G1B	NA	NA
PPIC	NA	NA
NXF5	NA	NA
PDCD4	NA	NA
INSR	NA	NA
PDGFC	NA	NA
PLEKHA8	NA	NA
FZD4	NA	NA
HOGA1	NA	NA
GLUD2	NA	NA
RANBP10	NA	NA
CRYBB2	NA	NA
TCTE1	NA	NA
PPFIA2	NA	NA
GAREM	NA	NA
LRRC47	NA	NA
LRRC8C	NA	NA
MYLPF	NA	NA
C20orf112	NA	NA
PIK3C2G	NA	NA
IGSF9B	NA	NA
TSPAN8	NA	NA
PLEKHG6	NA	NA
C3orf49	NA	NA
CD300LG	NA	NA
ADAMTS5	NA	NA
UBE2D1	NA	NA
PAGE3	NA	NA
TICAM1	NA	NA
OR5A1	NA	NA
GSTA4	NA	NA
EBI3	NA	NA
SSH3	NA	NA
SDF4	NA	NA
MFAP4	NA	NA
TTLL7	NA	NA
ELFN1	NA	NA
KNDC1	NA	NA
TMEM176B	NA	NA
GLT1D1	NA	NA
GPR32	NA	NA
SLC5A9	NA	NA
NUB1	NA	NA
SEMA6C	NA	NA
LHX2	NA	NA
CEP76	NA	NA
DBNDD2	NA	NA
PPCS	NA	NA
CD300LB	NA	NA
CHN1	NA	NA
C17orf59	NA	NA
GDF6	NA	NA
ALOX12	NA	NA
RND2	NA	NA
ZNF860	NA	NA
SYT11	NA	NA
RAB5B	NA	NA
TTC13	NA	NA
ATP6V0E1	NA	NA
TMEM215	NA	NA
ZNF28	NA	NA
BGN	NA	NA
CD79B	NA	NA
ANGPTL6	NA	NA
GPR12	NA	NA
KIF3B	NA	NA
SAP30L	NA	NA
CAMK4	NA	NA
INSM2	NA	NA
RDH13	NA	NA
HIST1H3C	NA	NA
CEP152	NA	NA
POLD4	NA	NA
AQP3	NA	NA
CCL26	NA	NA
GPX2	NA	NA
CD1D	NA	NA
KMO	NA	NA
SSTR5	NA	NA
OR1E1	NA	NA
BAAT	NA	NA
LY75	NA	NA
NME5	NA	NA
CREG1	NA	NA
FBXL14	NA	NA
ANKRD35	NA	NA
TMEM255B	NA	NA
ZNF345	NA	NA
DIP2B	NA	NA
TDRD12	NA	NA
SULT1C2	NA	NA
ZNF223	NA	NA
GPLD1	NA	NA
KRT73	NA	NA
ATPAF1	NA	NA
INA	NA	NA
NKX3-1	NA	NA
C12orf39	NA	NA
RIPPLY3	NA	NA
MPEG1	NA	NA
KCNJ12	NA	NA
KIAA1009	NA	NA
ANKRD42	NA	NA
ADCK4	NA	NA
PALMD	NA	NA
PGLYRP3	NA	NA
AKR1A1	NA	NA
CBLN2	NA	NA
ZNF197	NA	NA
FAM19A5	NA	NA
TULP4	NA	NA
ZNF117	NA	NA
SEPT3	NA	NA
LBR	NA	NA
ITIH6	NA	NA
TRPC4AP	NA	NA
RNFT2	NA	NA
LYG1	NA	NA
GRIN1	NA	NA
PGAP1	NA	NA
ZNHIT3	NA	NA
PTS	NA	NA
OR10A5	NA	NA
FUCA1	NA	NA
SPHKAP	NA	NA
CRH	NA	NA
CRHBP	NA	NA
CCDC9	NA	NA
GRPEL2	NA	NA
B4GALT6	NA	NA
AS3MT	NA	NA
CNTN6	NA	NA
KPNB1	NA	NA
KLHL35	NA	NA
C4orf50	NA	NA
EPS8	NA	NA
TRPM8	NA	NA
ENPP3	NA	NA
NFATC3	NA	NA
SOX14	NA	NA
GMEB1	NA	NA
HIST1H2BA	NA	NA
GUF1	NA	NA
C2orf71	NA	NA
LRRC26	NA	NA
C8orf49	NA	NA
OR1A2	NA	NA
PCDHA2	NA	NA
VANGL2	NA	NA
PLAC8L1	NA	NA
SLC16A7	NA	NA
LRRN1	NA	NA
SLC9B2	NA	NA
DNAJC12	NA	NA
MEI1	NA	NA
INTS12	NA	NA
C1orf64	NA	NA
HIST3H2A	NA	NA
CXorf23	NA	NA
CUBN	NA	NA
PDZD9	NA	NA
TFDP2	NA	NA
CYP26C1	NA	NA
ZNF112	NA	NA
DZIP3	NA	NA
SERPINB1	NA	NA
LIPG	NA	NA
TEX2	NA	NA
PODXL	NA	NA
SYCE1L	NA	NA
TMEM38B	NA	NA
BRSK1	NA	NA
MED16	NA	NA
IZUMO1	NA	NA
NCR3LG1	NA	NA
BTBD17	NA	NA
ZNF136	NA	NA
TNFSF13B	NA	NA
METTL13	NA	NA
ASL	NA	NA
FAM132B	NA	NA
ADAT1	NA	NA
OR10G3	NA	NA
GLIPR1L2	NA	NA
RNF183	NA	NA
USP54	NA	NA
PPFIA4	NA	NA
CRABP1	NA	NA
CASP1	NA	NA
AP3M1	NA	NA
DTX1	NA	NA
KIAA1755	NA	NA
SLC15A1	NA	NA
ADCY3	NA	NA
WNT10A	NA	NA
AFP	NA	NA
RAB27A	NA	NA
GALNT13	NA	NA
IKZF4	NA	NA
RNASE3	NA	NA
GNAT2	NA	NA
MX2	NA	NA
COL4A3	NA	NA
PRR11	NA	NA
MOSPD1	NA	NA
KRTAP21-2	NA	NA
ANKEF1	NA	NA
OR1Q1	NA	NA
PAMR1	NA	NA
ETNPPL	NA	NA
KRT39	NA	NA
USPL1	NA	NA
EIF3I	NA	NA
PHTF1	NA	NA
PLEKHG3	NA	NA
UGT3A1	NA	NA
ASPA	NA	NA
OR52B6	NA	NA
SIX2	NA	NA
CD164	NA	NA
GPR160	NA	NA
LUZP2	NA	NA
HOXD4	NA	NA
VPS4B	NA	NA
HAUS4	NA	NA
DIO3	NA	NA
FNBP1	NA	NA
SCML4	NA	NA
NPHS2	NA	NA
ZNF70	NA	NA
CHD3	NA	NA
DDX51	NA	NA
ATAD3B	NA	NA
IL1F10	NA	NA
TMEM150B	NA	NA
HSD17B6	NA	NA
BBS2	NA	NA
MS4A2	NA	NA
CHD5	NA	NA
KLHL23	NA	NA
GCFC2	NA	NA
BTBD18	NA	NA
RFX1	NA	NA
ZBTB25	NA	NA
EML3	NA	NA
TXNRD1	NA	NA
WDR45B	NA	NA
CDH13	NA	NA
MTMR7	NA	NA
CLDN10	NA	NA
SPERT	NA	NA
TENM2	NA	NA
DLG3	NA	NA
OR10G7	NA	NA
SAC3D1	NA	NA
FAM200A	NA	NA
RAB11B	NA	NA
TRAM2	NA	NA
PPP1R2	NA	NA
SLC5A4	NA	NA
LIN9	NA	NA
GPD1	NA	NA
LMNB2	NA	NA
CCL13	NA	NA
C4orf21	NA	NA
NTN1	NA	NA
STXBP2	NA	NA
C4orf36	NA	NA
LMBRD1	NA	NA
KIF20A	NA	NA
IL17RD	NA	NA
MMP15	NA	NA
XG	NA	NA
IL1R1	NA	NA
KLHDC1	NA	NA
FAM168A	NA	NA
ZNF630	NA	NA
OLFM3	NA	NA
PDE4B	NA	NA
C1orf106	NA	NA
DSCAM	NA	NA
CHUK	NA	NA
MZB1	NA	NA
PCDHB7	NA	NA
CCL15	NA	NA
C1orf204	NA	NA
SELV	NA	NA
CCDC129	NA	NA
SNX3	NA	NA
CARD11	NA	NA
RBMXL2	NA	NA
ASGR1	NA	NA
GSK3B	NA	NA
GABRA5	NA	NA
ARPC5	NA	NA
PADI1	NA	NA
EPS15	NA	NA
GPR65	NA	NA
HES5	NA	NA
PDCD6	NA	NA
GRB10	NA	NA
C5orf24	NA	NA
CCL5	NA	NA
FAM218A	NA	NA
SCNN1G	NA	NA
MRTO4	NA	NA
INPP4B	NA	NA
ZNF678	NA	NA
TMEM25	NA	NA
DBNDD1	NA	NA
IL1RN	NA	NA
KRT23	NA	NA
PTCH1	NA	NA
KIAA1456	NA	NA
HMOX2	NA	NA
LINGO3	NA	NA
C17orf72	NA	NA
TYK2	NA	NA
ZNF726	NA	NA
SLC29A4	NA	NA
RABAC1	NA	NA
ABCA6	NA	NA
RIPK2	NA	NA
NCS1	NA	NA
UHRF1BP1L	NA	NA
ARMC9	NA	NA
NUP93	NA	NA
SERPINA12	NA	NA
SLC25A17	NA	NA
FBXO46	NA	NA
DBX2	NA	NA
FAM200B	NA	NA
PITPNM3	NA	NA
DNAJC10	NA	NA
ADRB1	NA	NA
TP53AIP1	NA	NA
USP45	NA	NA
FLT3	NA	NA
CEACAM4	NA	NA
TRIML2	NA	NA
ZBTB7B	NA	NA
SAYSD1	NA	NA
NAIF1	NA	NA
NT5DC4	NA	NA
MLF1IP	NA	NA
ZNF100	NA	NA
ZDHHC9	NA	NA
COL15A1	NA	NA
MRGPRF	NA	NA
NCALD	NA	NA
ZNF697	NA	NA
APOBEC3C	NA	NA
C2orf62	NA	NA
PABPC1L	NA	NA
MZT1	NA	NA
BAD	NA	NA
LRRC61	NA	NA
ADD3	NA	NA
HOMER1	NA	NA
SLC16A4	NA	NA
FAM129C	NA	NA
MARK1	NA	NA
DNAJB4	NA	NA
FASTKD3	NA	NA
PTGDS	NA	NA
KIAA0930	NA	NA
PRSS48	NA	NA
GEMIN5	NA	NA
EGLN1	NA	NA
GYG2	NA	NA
HDAC1	NA	NA
MFHAS1	NA	NA
WSCD2	NA	NA
PCDH8	NA	NA
KRT82	NA	NA
SSPN	NA	NA
MROH2A	NA	NA
OLFML1	NA	NA
ABCG2	NA	NA
COX18	NA	NA
CXXC1	NA	NA
KIAA2026	NA	NA
FTO	NA	NA
SFTA2	NA	NA
GFER	NA	NA
FAM188A	NA	NA
RGS20	NA	NA
FBXL2	NA	NA
ZNF671	NA	NA
ACRBP	NA	NA
AGAP3	NA	NA
CHMP1A	NA	NA
EDNRA	NA	NA
L2HGDH	NA	NA
HNRNPLL	NA	NA
ACER2	NA	NA
HNRNPH1	NA	NA
